490.00	0.49525
492.00	0.61698
494.00	0.76385
496.00	0.93983
498.00	1.1492
500.00	1.3964
502.00	1.6864
504.00	2.0239
506.00	2.4139
508.00	2.8612
510.00	3.3703
512.00	3.9454
514.00	4.5899
516.00	5.3067
518.00	6.0973
520.00	6.9622
522.00	7.9005
524.00	8.9097
526.00	9.9854
528.00	11.122
530.00	12.310
532.00	13.541
534.00	14.803
536.00	16.083
538.00	17.364
540.00	18.631
542.00	19.866
544.00	21.052
546.00	22.170
548.00	23.203
550.00	24.134
552.00	24.945
554.00	25.625
556.00	26.159
558.00	26.539
560.00	26.757
562.00	26.809
564.00	26.695
566.00	26.416
568.00	25.978
570.00	25.389
572.00	24.659
574.00	23.802
576.00	22.832
578.00	21.765
580.00	20.619
582.00	19.413
584.00	18.163
586.00	16.889
588.00	15.607
590.00	14.332
592.00	13.080
594.00	11.863
596.00	10.693
598.00	9.5780
600.00	8.5263
602.00	7.5429
604.00	6.6316
606.00	5.7941
608.00	5.0310
610.00	4.3413
612.00	3.7229
614.00	3.1728
616.00	2.6872
618.00	2.2618
620.00	1.8919
622.00	1.5727
624.00	1.2992
626.00	1.0666
628.00	0.87026
630.00	0.70563
632.00	0.56859
634.00	0.45532
636.00	0.36235
638.00	0.28658
640.00	0.22524
642.00	0.17593
644.00	0.13657
646.00	0.10535
648.00	0.080764
650.00	0.061532
652.00	0.046588
654.00	0.035054
656.00	0.026212
658.00	0.019479
660.00	0.014385
662.00	0.010558
664.00	0.0077004
666.00	0.0055815
668.00	0.0040205
670.00	0.0028781
672.00	0.0020475
674.00	0.0014476
676.00	0.0010171
678.00	7.1016E-4
680.00	4.9278E-4
682.00	3.3982E-4
684.00	2.3288E-4
686.00	1.5860E-4
688.00	1.0735E-4
690.00	7.2203E-5
692.00	4.8263E-5
694.00	3.2061E-5
696.00	2.1165E-5
698.00	1.3886E-5
700.00	9.0535E-6
